Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-17,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-17,Australian Capital Territory,Female,Construction,0
Aug-17,Australian Capital Territory,Female,Wholesale Trade,0
Aug-17,Australian Capital Territory,Female,Retail Trade,403.9
Aug-17,Australian Capital Territory,Female,Accommodation and Food Services,309.4
Aug-17,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-17,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-17,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-17,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-17,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1412.5
Aug-17,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-17,Australian Capital Territory,Female,Public Administration and Safety,1431.2
Aug-17,Australian Capital Territory,Female,Education and Training,1164.9
Aug-17,Australian Capital Territory,Female,Health Care and Social Assistance,1050
Aug-17,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-17,Australian Capital Territory,Female,Other Services,0
Aug-18,New South Wales,Male,"Agriculture, Forestry and Fishing",1000
Aug-18,New South Wales,Male,Mining,1797.5
Aug-18,New South Wales,Male,Manufacturing,1255.7
Aug-18,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1607.5
Aug-18,New South Wales,Male,Construction,1342
Aug-18,New South Wales,Male,Wholesale Trade,1338.6
Aug-18,New South Wales,Male,Retail Trade,926.4
Aug-18,New South Wales,Male,Accommodation and Food Services,617
Aug-18,New South Wales,Male,"Transport, Postal and Warehousing",1200
Aug-18,New South Wales,Male,Information Media and Telecommunications,1666.9
Aug-18,New South Wales,Male,Financial and Insurance Services,1909
Aug-18,New South Wales,Male,"Rental, Hiring and Real Estate Services",1333.6
Aug-18,New South Wales,Male,"Professional, Scientific and Technical Services",1750.9
Aug-18,New South Wales,Male,Administrative and Support Services,1000
Aug-18,New South Wales,Male,Public Administration and Safety,1500
Aug-18,New South Wales,Male,Education and Training,1557.7
Aug-18,New South Wales,Male,Health Care and Social Assistance,1191.7
Aug-18,New South Wales,Male,Arts and Recreation Services,961.9
Aug-18,New South Wales,Male,Other Services,1124.7
Aug-18,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-18,New South Wales,Female,Mining,0
Aug-18,New South Wales,Female,Manufacturing,963
Aug-18,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-18,New South Wales,Female,Construction,909.5
Aug-18,New South Wales,Female,Wholesale Trade,820.5
Aug-18,New South Wales,Female,Retail Trade,650.3
Aug-18,New South Wales,Female,Accommodation and Food Services,500
Aug-18,New South Wales,Female,"Transport, Postal and Warehousing",947.6
Aug-18,New South Wales,Female,Information Media and Telecommunications,1263.7
Aug-18,New South Wales,Female,Financial and Insurance Services,1461.4
Aug-18,New South Wales,Female,"Rental, Hiring and Real Estate Services",1008.2
Aug-18,New South Wales,Female,"Professional, Scientific and Technical Services",1251.3
Aug-18,New South Wales,Female,Administrative and Support Services,810.3
Aug-18,New South Wales,Female,Public Administration and Safety,1215
Aug-18,New South Wales,Female,Education and Training,1160
Aug-18,New South Wales,Female,Health Care and Social Assistance,950
Aug-18,New South Wales,Female,Arts and Recreation Services,569.8
Aug-18,New South Wales,Female,Other Services,685.1
Aug-18,Victoria,Male,"Agriculture, Forestry and Fishing",1200
Aug-18,Victoria,Male,Mining,0
Aug-18,Victoria,Male,Manufacturing,1305.7
Aug-18,Victoria,Male,"Electricity, Gas, Water and Waste Services",1740
Aug-18,Victoria,Male,Construction,1364.9
Aug-18,Victoria,Male,Wholesale Trade,1191.9
Aug-18,Victoria,Male,Retail Trade,1000
Aug-18,Victoria,Male,Accommodation and Food Services,540
Aug-18,Victoria,Male,"Transport, Postal and Warehousing",1267.4
Aug-18,Victoria,Male,Information Media and Telecommunications,1619.5
Aug-18,Victoria,Male,Financial and Insurance Services,1741.1
Aug-18,Victoria,Male,"Rental, Hiring and Real Estate Services",1249.5
Aug-18,Victoria,Male,"Professional, Scientific and Technical Services",1539.4
Aug-18,Victoria,Male,Administrative and Support Services,1182.6
Aug-18,Victoria,Male,Public Administration and Safety,1647.6
Aug-18,Victoria,Male,Education and Training,1200
Aug-18,Victoria,Male,Health Care and Social Assistance,1300
Aug-18,Victoria,Male,Arts and Recreation Services,933.5
Aug-18,Victoria,Male,Other Services,1100
Aug-18,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-18,Victoria,Female,Mining,0
Aug-18,Victoria,Female,Manufacturing,969.6
Aug-18,Victoria,Female,"Electricity, Gas, Water and Waste Services",1093.1
Aug-18,Victoria,Female,Construction,1014.5
Aug-18,Victoria,Female,Wholesale Trade,953.7
Aug-18,Victoria,Female,Retail Trade,600
Aug-18,Victoria,Female,Accommodation and Food Services,350
Aug-18,Victoria,Female,"Transport, Postal and Warehousing",1045.8
Aug-18,Victoria,Female,Information Media and Telecommunications,1300
Aug-18,Victoria,Female,Financial and Insurance Services,1072.1
Aug-18,Victoria,Female,"Rental, Hiring and Real Estate Services",1150
Aug-18,Victoria,Female,"Professional, Scientific and Technical Services",1100.4
Aug-18,Victoria,Female,Administrative and Support Services,817.3
Aug-18,Victoria,Female,Public Administration and Safety,1264.9
Aug-18,Victoria,Female,Education and Training,961
Aug-18,Victoria,Female,Health Care and Social Assistance,961.5
Aug-18,Victoria,Female,Arts and Recreation Services,410.3
Aug-18,Victoria,Female,Other Services,820.1
Aug-18,Queensland,Male,"Agriculture, Forestry and Fishing",980.9
Aug-18,Queensland,Male,Mining,2195.5
Aug-18,Queensland,Male,Manufacturing,1262.1
Aug-18,Queensland,Male,"Electricity, Gas, Water and Waste Services",1817.2
Aug-18,Queensland,Male,Construction,1400
Aug-18,Queensland,Male,Wholesale Trade,1161.8
Aug-18,Queensland,Male,Retail Trade,853.5
Aug-18,Queensland,Male,Accommodation and Food Services,522.5
Aug-18,Queensland,Male,"Transport, Postal and Warehousing",1349.8
Aug-18,Queensland,Male,Information Media and Telecommunications,1353.8
Aug-18,Queensland,Male,Financial and Insurance Services,1640.6
Aug-18,Queensland,Male,"Rental, Hiring and Real Estate Services",1428.7
Aug-18,Queensland,Male,"Professional, Scientific and Technical Services",1556.4
Aug-18,Queensland,Male,Administrative and Support Services,1169.5
Aug-18,Queensland,Male,Public Administration and Safety,1542.9
Aug-18,Queensland,Male,Education and Training,1356.6
Aug-18,Queensland,Male,Health Care and Social Assistance,1247.2
Aug-18,Queensland,Male,Arts and Recreation Services,977.8
Aug-18,Queensland,Male,Other Services,1200
Aug-18,Queensland,Female,"Agriculture, Forestry and Fishing",0
Aug-18,Queensland,Female,Mining,1210
Aug-18,Queensland,Female,Manufacturing,828.2
Aug-18,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-18,Queensland,Female,Construction,901.3
Aug-18,Queensland,Female,Wholesale Trade,1089
Aug-18,Queensland,Female,Retail Trade,590
Aug-18,Queensland,Female,Accommodation and Food Services,500
Aug-18,Queensland,Female,"Transport, Postal and Warehousing",894.1
Aug-18,Queensland,Female,Information Media and Telecommunications,766.2
Aug-18,Queensland,Female,Financial and Insurance Services,1160.8
Aug-18,Queensland,Female,"Rental, Hiring and Real Estate Services",1047.8
Aug-18,Queensland,Female,"Professional, Scientific and Technical Services",1000
Aug-18,Queensland,Female,Administrative and Support Services,785.7
Aug-18,Queensland,Female,Public Administration and Safety,1277.9
Aug-18,Queensland,Female,Education and Training,1000
Aug-18,Queensland,Female,Health Care and Social Assistance,1000
Aug-18,Queensland,Female,Arts and Recreation Services,896
Aug-18,Queensland,Female,Other Services,750
Aug-18,South Australia,Male,"Agriculture, Forestry and Fishing",1126.8
Aug-18,South Australia,Male,Mining,1879.4
Aug-18,South Australia,Male,Manufacturing,1196.7
Aug-18,South Australia,Male,"Electricity, Gas, Water and Waste Services",1152.7
Aug-18,South Australia,Male,Construction,1248.3
Aug-18,South Australia,Male,Wholesale Trade,1156.5
Aug-18,South Australia,Male,Retail Trade,830.9
Aug-18,South Australia,Male,Accommodation and Food Services,467.7
Aug-18,South Australia,Male,"Transport, Postal and Warehousing",1043
Aug-18,South Australia,Male,Information Media and Telecommunications,0
Aug-18,South Australia,Male,Financial and Insurance Services,1069.5
Aug-18,South Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-18,South Australia,Male,"Professional, Scientific and Technical Services",1684
Aug-18,South Australia,Male,Administrative and Support Services,773.1
Aug-18,South Australia,Male,Public Administration and Safety,1500
Aug-18,South Australia,Male,Education and Training,1310.4
Aug-18,South Australia,Male,Health Care and Social Assistance,1192.9
Aug-18,South Australia,Male,Arts and Recreation Services,1009.1
Aug-18,South Australia,Male,Other Services,971
Aug-18,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-18,South Australia,Female,Mining,0
Aug-18,South Australia,Female,Manufacturing,853.4
Aug-18,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-18,South Australia,Female,Construction,0
Aug-18,South Australia,Female,Wholesale Trade,0
Aug-18,South Australia,Female,Retail Trade,509.1
Aug-18,South Australia,Female,Accommodation and Food Services,336.6
Aug-18,South Australia,Female,"Transport, Postal and Warehousing",0
Aug-18,South Australia,Female,Information Media and Telecommunications,0
Aug-18,South Australia,Female,Financial and Insurance Services,1000
Aug-18,South Australia,Female,"Rental, Hiring and Real Estate Services",0
Aug-18,South Australia,Female,"Professional, Scientific and Technical Services",1066.4
Aug-18,South Australia,Female,Administrative and Support Services,764.1
Aug-18,South Australia,Female,Public Administration and Safety,1187.8
Aug-18,South Australia,Female,Education and Training,1105.8
Aug-18,South Australia,Female,Health Care and Social Assistance,900
Aug-18,South Australia,Female,Arts and Recreation Services,521.7
Aug-18,South Australia,Female,Other Services,612.9
Aug-18,Western Australia,Male,"Agriculture, Forestry and Fishing",1000
Aug-18,Western Australia,Male,Mining,2402
Aug-18,Western Australia,Male,Manufacturing,1239.3
Aug-18,Western Australia,Male,"Electricity, Gas, Water and Waste Services",1524.6
Aug-18,Western Australia,Male,Construction,1600
Aug-18,Western Australia,Male,Wholesale Trade,1306.3
Aug-18,Western Australia,Male,Retail Trade,850
Aug-18,Western Australia,Male,Accommodation and Food Services,798.5
Aug-18,Western Australia,Male,"Transport, Postal and Warehousing",1316.7
Aug-18,Western Australia,Male,Information Media and Telecommunications,0
Aug-18,Western Australia,Male,Financial and Insurance Services,1500
Aug-18,Western Australia,Male,"Rental, Hiring and Real Estate Services",0
Aug-18,Western Australia,Male,"Professional, Scientific and Technical Services",1957.4
Aug-18,Western Australia,Male,Administrative and Support Services,1526.1
Aug-18,Western Australia,Male,Public Administration and Safety,1792.4
Aug-18,Western Australia,Male,Education and Training,1400
Aug-18,Western Australia,Male,Health Care and Social Assistance,1328.6
Aug-18,Western Australia,Male,Arts and Recreation Services,0
Aug-18,Western Australia,Male,Other Services,1011.5
Aug-18,Western Australia,Female,"Agriculture, Forestry and Fishing",864.6
Aug-18,Western Australia,Female,Mining,1903.8
Aug-18,Western Australia,Female,Manufacturing,854.9
Aug-18,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-18,Western Australia,Female,Construction,1007.2
Aug-18,Western Australia,Female,Wholesale Trade,918.1
Aug-18,Western Australia,Female,Retail Trade,690
Aug-18,Western Australia,Female,Accommodation and Food Services,500
Aug-18,Western Australia,Female,"Transport, Postal and Warehousing",1248.9
Aug-18,Western Australia,Female,Information Media and Telecommunications,0
Aug-18,Western Australia,Female,Financial and Insurance Services,1206
Aug-18,Western Australia,Female,"Rental, Hiring and Real Estate Services",1148.1
Aug-18,Western Australia,Female,"Professional, Scientific and Technical Services",1000
Aug-18,Western Australia,Female,Administrative and Support Services,717.1
Aug-18,Western Australia,Female,Public Administration and Safety,1260
Aug-18,Western Australia,Female,Education and Training,1099
Aug-18,Western Australia,Female,Health Care and Social Assistance,925.4
Aug-18,Western Australia,Female,Arts and Recreation Services,592.1
Aug-18,Western Australia,Female,Other Services,789.2
Aug-18,Tasmania,Male,"Agriculture, Forestry and Fishing",1157.2
Aug-18,Tasmania,Male,Mining,1587.1
Aug-18,Tasmania,Male,Manufacturing,1174.4
Aug-18,Tasmania,Male,"Electricity, Gas, Water and Waste Services",0
Aug-18,Tasmania,Male,Construction,1139.5
Aug-18,Tasmania,Male,Wholesale Trade,1446.6
Aug-18,Tasmania,Male,Retail Trade,861.2
Aug-18,Tasmania,Male,Accommodation and Food Services,490.2
Aug-18,Tasmania,Male,"Transport, Postal and Warehousing",1000
Aug-18,Tasmania,Male,Information Media and Telecommunications,0
Aug-18,Tasmania,Male,Financial and Insurance Services,0
Aug-18,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-18,Tasmania,Male,"Professional, Scientific and Technical Services",1244.9
Aug-18,Tasmania,Male,Administrative and Support Services,0
Aug-18,Tasmania,Male,Public Administration and Safety,1500
Aug-18,Tasmania,Male,Education and Training,1196.7
Aug-18,Tasmania,Male,Health Care and Social Assistance,1336.5
Aug-18,Tasmania,Male,Arts and Recreation Services,461.8
Aug-18,Tasmania,Male,Other Services,801.1
Aug-18,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-18,Tasmania,Female,Mining,0
Aug-18,Tasmania,Female,Manufacturing,921.2
Aug-18,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-18,Tasmania,Female,Construction,0
Aug-18,Tasmania,Female,Wholesale Trade,0
Aug-18,Tasmania,Female,Retail Trade,557.2
Aug-18,Tasmania,Female,Accommodation and Food Services,450.6
Aug-18,Tasmania,Female,"Transport, Postal and Warehousing",943.4
Aug-18,Tasmania,Female,Information Media and Telecommunications,0
Aug-18,Tasmania,Female,Financial and Insurance Services,945.4
